source,target,weight
767,1085,3.3013
767,788,2.9903
219,422,12.6923
219,346,8.8113
219,568,7.8974
219,470,7.4577
219,829,7.204
219,442,7.0577
219,641,7.0054
219,443,6.8474
219,607,6.5903
219,668,6.3312
219,1326,5.9273
219,877,5.7597
219,297,5.7131
219,738,5.6499
219,413,5.5347
219,1175,5.396
219,338,5.3566
219,956,5.1503
219,1161,5.1461
219,509,5.1217
219,529,5.0133
219,408,4.8697
219,434,4.8261
219,473,4.5699
219,298,4.5419
219,535,4.5053
219,637,4.4619
219,581,4.4236
219,778,4.3745
219,1269,4.3048
219,600,4.3047
219,611,4.2628
219,827,4.2101
219,572,4.1503
219,584,3.8935
219,483,3.8853
219,682,3.8079
219,341,3.8035
53,262,31.4367
53,850,16.3924
53,803,14.0882
53,62,13.7893
53,712,11.1873
53,447,11.0173
53,510,9.3844
53,502,8.7334
53,889,8.0505
53,279,7.836
53,187,7.5725
53,238,7.336
53,442,7.2769
53,884,7.2647
53,55,6.7901
53,769,6.7013
53,253,6.6072
53,73,6.4163
53,582,6.4142
53,118,6.2265
53,1084,6.1294
53,849,5.9834
53,234,5.9435
53,468,5.8906
53,71,5.8332
